Date,Value
2014-02-13,93
2014-02-13,66
2014-02-13,91
2014-02-13,84
2014-02-13,62
2014-02-13,75
2014-02-13,70
2014-02-13,56
2014-02-13,87
2014-02-13,75
2014-02-13,88
2014-02-13,93
2014-02-13,87
2014-02-13,81
2014-02-13,76
2014-02-13,76
2014-02-13,70
2014-02-13,69
2014-02-13,93
2014-02-13,81
2014-02-13,75
2014-02-13,55
2014-02-13,87
2014-02-13,73
2014-02-13,93
2014-02-13,87
2014-02-13,86
2014-02-13,66
2014-02-13,93
2014-02-13,87
2014-02-13,66
2014-02-13,93
2014-02-13,76
2014-02-13,76
2014-02-13,81
2014-02-13,85
2014-02-13,87
2014-02-13,87
2014-02-13,62
2014-02-13,93
2014-02-13,70
2014-02-13,75
2014-02-13,66
2014-02-13,66
2014-02-13,75
2014-02-13,93
2014-02-13,72
2014-02-13,70
2014-02-13,87
2014-02-13,87
2014-02-13,93
2014-02-13,73
2014-02-13,71
2014-02-13,70
2014-02-13,75
2014-02-13,75
2014-02-13,89
2014-02-13,67
2014-02-13,81
2014-02-13,66
2014-02-13,81
2014-02-13,82
2014-02-13,81
2014-02-13,60
2014-02-13,65
2014-02-13,70
2014-02-13,75
2014-02-13,75
2014-02-13,81
2014-02-13,66
2014-02-14,87
2014-02-14,87
2014-02-14,81
2014-02-14,89
2014-02-14,76
2014-02-14,93
2014-02-14,76
2014-02-14,93
2014-02-14,93
2014-02-14,87
2014-02-14,82
2014-02-14,81
2014-02-14,93
2014-02-14,87
2014-02-14,76
2014-02-14,81
2014-02-14,86
2014-02-14,72
2014-02-14,76
2014-02-14,81
2014-02-14,72
2014-02-14,89
2014-02-14,81
2014-02-14,87
2014-02-14,93
2014-02-14,93
2014-02-14,81
2014-02-14,87
2014-02-14,86
2014-02-14,76
2014-02-14,93
2014-02-14,67
2014-02-14,91
2014-02-14,76
2014-02-14,87
2014-02-14,67
2014-02-14,87
2014-02-14,76
2014-02-14,76
2014-02-14,93
2014-02-14,93
2014-02-14,77
2014-02-14,82
2014-02-14,93
2014-02-14,93
2014-02-14,81
2014-02-14,93
2014-02-14,86
2014-02-14,70
2014-02-14,93
2014-02-14,81
2014-02-14,81
2014-02-14,74
2014-02-14,93
2014-02-14,87
2014-02-14,87
2014-02-14,84
2014-02-14,76
2014-02-14,81
2014-02-14,81
2014-02-14,87
2014-02-14,87
2014-02-14,75
2014-02-14,79
2014-02-14,76
2014-02-14,81
2014-02-14,87
2014-02-14,93
2014-02-14,81
2014-02-15,87
2014-02-15,81
2014-02-15,80
2014-02-15,87
2014-02-15,74
2014-02-15,87
2014-02-15,77
2014-02-15,81
2014-02-15,81
2014-02-15,75
2014-02-15,73
2014-02-15,81
2014-02-15,81
2014-02-15,75
2014-02-15,75
2014-02-15,70
2014-02-15,78
2014-02-15,68
2014-02-15,49
2014-02-15,62
2014-02-15,81
2014-02-15,61
2014-02-15,81
2014-02-15,74
2014-02-15,62
2014-02-15,81
2014-02-15,81
2014-02-15,62
2014-02-15,87
2014-02-15,62
2014-02-15,80
2014-02-15,71
2014-02-15,87
2014-02-15,87
2014-02-15,71
2014-02-15,66
2014-02-15,76
2014-02-15,53
2014-02-15,66
2014-02-15,72
